Tickers,Stock Code,Name of Securities,Category,Board Lot,ISIN,RMB Counter
1732.hk,01732,XIANGXING INT,Equity,"20,000",KYG9831A1067,
1733.hk,01733,E-COMMODITIES,Equity,"2,000",VGG2921V1067,
1735.hk,01735,CENTRAL NEW EGY,Equity,"1,000",KYG2006G1313,
1736.hk,01736,PARENTING NET,Equity,"5,000",KYG2162T1334,
1737.hk,01737,A & S GROUP,Equity,"10,000",KYG2957H1048,
1738.hk,01738,FS ANTHRACITE,Equity,"2,500",VGG3375A1194,
1739.hk,01739,QEEKA HOME,Equity,500,KYG730661058,
1740.hk,01740,VALUES CULTURAL,Equity,"5,000",KYG7410F1081,
1741.hk,01741,SHING CHI HLDGS,Equity,"4,000",KYG7S97Q1048,
1742.hk,01742,HPC HOLDINGS,Equity,"5,000",KYG169491027,
1745.hk,01745,LVJI TECH,Equity,"2,000",KYG5804E1098,
1746.hk,01746,MAN SHUN GP,Equity,"4,000",KYG579691000,
1747.hk,01747,HOME CONTROL,Equity,"2,000",KYG4574A1085,
1748.hk,01748,XIN YUAN ENT,Equity,"2,000",KYG9831M1006,
1749.hk,01749,SHANSHAN,Equity,"1,000",CNE1000031D9,
1750.hk,01750,REM GROUP HLDGS,Equity,"10,000",KYG749541010,
1751.hk,01751,KINGLAND GROUP,Equity,"10,000",KYG5260R1074,
1752.hk,01752,TOP EDUCATION,Equity,"10,000",AU0000007296,
1753.hk,01753,DUIBA,Equity,400,KYG2856W1033,
1755.hk,01755,S-ENJOY SERVICE,Equity,"1,000",KYG803251068,
1756.hk,01756,CHI SCI&EDU IND,Equity,"1,000",KYG4643F1046,
1757.hk,01757,AFFLUENT FDN,Equity,"10,000",KYG013071009,
1758.hk,01758,BOJUN EDU,Equity,"2,000",KYG1R20A1052,
1759.hk,01759,SINO GAS HLDGS,Equity,"1,000",KYG8192K1094,
1760.hk,01760,INTRON TECH,Equity,"1,000",KYG4914A1076,
1762.hk,01762,WANKA ONLINE,Equity,"1,000",KYG943071087,
1763.hk,01763,CIRC,Equity,200,CNE1000031F4,
1765.hk,01765,XJ INTL HLDGS,Equity,"2,000",KYG4600E1089,
1766.hk,01766,CRRC,Equity,"1,000",CNE100000BG0,
1767.hk,01767,TS WONDERS,Equity,"10,000",KYG9114S1057,
1769.hk,01769,SCHOLAR EDU,Equity,"1,000",KYG7853U1094,
1771.hk,01771,SUNFONDA GP,Equity,"1,000",KYG8571A1022,
1772.hk,01772,GANFENGLITHIUM,Equity,200,CNE1000031W9,
1773.hk,01773,TIANLI INT HLDG,Equity,"1,000",KYG888461038,
1775.hk,01775,BEXCELLENT GP,Equity,"4,000",KYG108021091,
1776.hk,01776,GF SEC,Equity,200,CNE100001TQ9,
1777.hk,01777,FANTASIA,Equity,"1,500",KYG3311L1041,
1778.hk,01778,COLOUR LIFE,Equity,"1,000",KYG229151058,
1780.hk,01780,RONGZUN INT'L H,Equity,"2,500",KYG0700L1095,
1782.hk,01782,IB DIGITAL TECH,Equity,"5,000",KYG937491028,
1783.hk,01783,ENVISION GREEN,Equity,"1,000",KYG3962W1024,
1785.hk,01785,CHENGDU EXPWAY,Equity,"1,000",CNE100003FL5,
1786.hk,01786,CRCCE,Equity,500,CNE1000023F1,
1787.hk,01787,SD GOLD,Equity,250,CNE1000036N7,
1788.hk,01788,GUOTAI JUNAN I,Equity,"1,000",HK0000065869,
1789.hk,01789,AK MEDICAL,Equity,"2,000",KYG020141019,
1790.hk,01790,TIL ENVIRO,Equity,"5,000",KYG887391004,
1792.hk,01792,CMON,Equity,"70,000",KYG223911093,
1793.hk,01793,WECON HOLDINGS,Equity,"4,000",KYG9508R1011,
1795.hk,01795,YADONG GROUP,Equity,"3,000",KYG9830S1084,
1796.hk,01796,METASPACEX,Equity,"2,000",KYG9844G1082,
1797.hk,01797,EAST BUY,Equity,500,KYG5313A1013,
1798.hk,01798,DATANG RENEW,Equity,"1,000",CNE100000X69,
1799.hk,01799,XINTE ENERGY,Equity,400,CNE1000023G9,
1800.hk,01800,CHINA COMM CONS,Equity,"1,000",CNE1000002F5,
1801.hk,01801,INNOVENT BIO,Equity,500,KYG4818G1010,
1802.hk,01802,WENYE GROUP,Equity,"2,000",KYG9494A1040,
1803.hk,01803,BJ SPORTS & ENT,Equity,"2,500",KYG1145Y1026,
1808.hk,01808,ENTERPRISE DEV,Equity,"2,000",KYG3070M2023,
1809.hk,01809,PRINX CHENGSHAN,Equity,500,KYG7255W1096,
1810.hk,01810,XIAOMI-W,Equity,200,KYG9830T1067,81810
1811.hk,01811,CGN NEW ENERGY,Equity,"2,000",BMG202981087,
1812.hk,01812,CHENMING PAPER,Equity,500,CNE100000BK2,
1813.hk,01813,KWG GROUP,Equity,500,KYG532241042,
1815.hk,01815,EVEREST GOLD,Equity,"1,000",KYG2582R1056,
1816.hk,01816,CGN POWER,Equity,"1,000",CNE100001T80,
1817.hk,01817,MULSANNE GROUP,Equity,500,KYG6329A1013,
1818.hk,01818,ZHAOJIN MINING,Equity,500,CNE1000004R6,
1820.hk,01820,PM PACKAGING,Equity,"1,000",KYG968461031,
1822.hk,01822,CHINA WOOD INT,Equity,"30,000",KYG2162J1278,
1823.hk,01823,HUAYUEXPRESSWAY,Equity,"2,000",KYG464101099,
1825.hk,01825,STERLING GP,Equity,"2,500",KYG847771121,
1826.hk,01826,FDB HOLDINGS,Equity,"10,000",KYG8467E1017,
1827.hk,01827,MIRICOR,Equity,"5,000",KYG6193F1037,
1828.hk,01828,FWD,Equity,100,KYG370481080,
1830.hk,01830,PERFECT MEDICAL,Equity,"1,000",KYG7013H1056,
1831.hk,01831,SHIFANG HLDG,Equity,"10,000",BMG8126A1100,
1832.hk,01832,SAI LEISURE,Equity,"1,000",KYG8629S1057,
1833.hk,01833,PA GOODDOCTOR,Equity,100,KYG711391022,
1835.hk,01835,REALWAY CAPITAL,Equity,400,CNE1000036P2,
1836.hk,01836,STELLA HOLDINGS,Equity,500,KYG846981028,
1837.hk,01837,NATURAL FOOD IH,Equity,"2,000",KYG6402W1033,
1841.hk,01841,A.PLUS GROUP,Equity,"10,000",KYG0411B1014,
1842.hk,01842,GROWN UP GROUP,Equity,"4,000",KYG4147A1067,
1843.hk,01843,SNACK EMPIRE,Equity,"4,000",KYG8267H1065,
1845.hk,01845,WG ENV TECH,Equity,"3,000",KYG9T2061057,
1846.hk,01846,EUROEYES,Equity,"1,000",KYG3224D1088,
1847.hk,01847,GHPC,Equity,"1,000",CNE100003NG9,
1848.hk,01848,CALC,Equity,500,KYG211241057,
1849.hk,01849,AM GROUP,Equity,"5,000",KYG0410A1040,
1850.hk,01850,HSC RESOURCES,Equity,"10,000",KYG9700F1458,
1851.hk,01851,GINGKO EDU,Equity,"2,000",KYG2121K1085,
1853.hk,01853,CHUNCHENG HEAT,Equity,"2,500",CNE100003N84,
1854.hk,01854,CHINA WANTIAN,Equity,"10,000",KYG3945R1056,
1855.hk,01855,ZONQING LTD,Equity,"2,000",KYG989A21197,
1856.hk,01856,ERNEST BOREL,Equity,"1,000",KYG311691086,
1857.hk,01857,CEB WATER,Equity,"1,000",BMG2116Y1057,
1858.hk,01858,CHUNLI MEDICAL,Equity,250,CNE100001TP1,
1860.hk,01860,MOBVISTA,Equity,"1,000",KYG622681008,
1861.hk,01861,PRECIOUS DRAGON,Equity,"2,000",KYG7224A1058,
1862.hk,01862,JINGRUI HLDGS,Equity,"1,000",KYG5138W1069,
1863.hk,01863,CHI LONGEVITY,Equity,"1,000",KYG2133P1037,
1865.hk,01865,PENGO HLDG GP,Equity,"12,000",KYG9031S1131,
1866.hk,01866,CHINA XLX FERT,Equity,"1,000",SG1V07936171,
1867.hk,01867,STD DEV GROUP,Equity,"10,000",KYG8T26D1062,
1868.hk,01868,NEO-NEON,Equity,"2,000",KYG642571015,
1869.hk,01869,KAFELAKU COFFEE,Equity,"10,000",KYG548041022,
1870.hk,01870,ACME INTL HLDGS,Equity,"2,500",KYG0073U1085,
1871.hk,01871,CHINA ORIENTED,Equity,"4,000",KYG2122K1076,
1872.hk,01872,GUAN CHAO HLDGS,Equity,"5,000",KYG4183A1195,
1873.hk,01873,VIVA BIOTECH,Equity,500,KYG9390W1015,
1875.hk,01875,BIODLINK-B,Equity,400,HK0000545266,
1876.hk,01876,BUD APAC,Equity,100,KYG1674K1013,
1877.hk,01877,JUNSHI BIO,Equity,200,CNE100003FF7,
1878.hk,01878,SOUTHGOBI,Equity,50,CA8443751059,
1880.hk,01880,CTG DUTY-FREE,Equity,100,CNE100004YZ4,
1882.hk,01882,HAITIAN INT'L,Equity,"1,000",KYG4232C1087,
1883.hk,01883,CITIC TELECOM,Equity,"1,000",HK1883037637,
1884.hk,01884,EPRINT GROUP,Equity,"4,000",KYG3085F1019,
1888.hk,01888,KB LAMINATES,Equity,500,KYG5257K1076,
1889.hk,01889,SANAI HEALTH GP,Equity,"5,000",KYG7785S1158,
1890.hk,01890,CHINA KEPEI,Equity,"2,000",KYG2122A1094,
1891.hk,01891,HENG HUP,Equity,"4,000",KYG4505A1022,
1894.hk,01894,HANG YICK HLDGS,Equity,"5,000",KYG429011011,
1895.hk,01895,XINYUAN PM,Equity,"1,000",KYG9833M1087,
1896.hk,01896,MAOYAN ENT,Equity,200,KYG5804A1076,
1897.hk,01897,MILLIONHOPE IND,Equity,"2,000",KYG6130N1025,
1898.hk,01898,CHINA COAL,Equity,"1,000",CNE100000528,
1899.hk,01899,XINGDA INT'L,Equity,"1,000",KYG9827V1068,
1900.hk,01900,CHINA ITS,Equity,"1,000",KYG2161M1050,
1901.hk,01901,FEIYANG GROUP,Equity,"2,000",KYG3376A1004,
1903.hk,01903,JBB BUILDERS,Equity,"2,000",KYG5086B1041,
1905.hk,01905,HAITONG UT,Equity,"2,000",CNE100003K61,
1906.hk,01906,BONNY HLDG,Equity,"10,000",KYG1449A1076,
1907.hk,01907,CHINA RISUN GP,Equity,"1,000",KYG2120H1065,
1908.hk,01908,C&D INTL GROUP,Equity,"1,000",KYG3165D1097,
1909.hk,01909,FIRE ROCK,Equity,"2,000",KYG3524S1369,
1910.hk,01910,SAMSONITE,Equity,300,LU0633102719,
1911.hk,01911,CR HOLDINGS,Equity,100,KYG212151016,
1912.hk,01912,CONTEL,Equity,"5,000",KYG2521A1067,
1913.hk,01913,PRADA,Equity,100,IT0003874101,
1915.hk,01915,TAIHE M-FIN,Equity,"2,000",CNE100002FL7,
1916.hk,01916,JIANGXI BANK,Equity,500,CNE1000031B3,
1917.hk,01917,DOUMOB,Equity,"10,000",KYG2819C1033,
1918.hk,01918,SUNAC,Equity,"1,000",KYG8569A1067,
1919.hk,01919,COSCO SHIP HOLD,Equity,500,CNE1000002J7,
1920.hk,01920,CHINA WACAN,Equity,"10,000",KYG4288C1197,
1921.hk,01921,DALIPAL HLDG,Equity,"2,000",KYG2643G1064,
1922.hk,01922,RUISEN LIFE SER,Equity,"2,000",KYG9841B1023,
1925.hk,01925,KWUNGS AROMA,Equity,"2,000",            ,
1927.hk,01927,JIUJIUWANG,Equity,"5,000",KYG5142A1085,
1928.hk,01928,SANDS CHINA LTD,Equity,400,KYG7800X1079,
1929.hk,01929,CHOW TAI FOOK,Equity,200,KYG211461085,
1930.hk,01930,SHINELONG,Equity,"4,000",KYG8105A1076,
1931.hk,01931,IVD MEDICAL,Equity,"1,000",KYG4977H1065,
1932.hk,01932,CPM GROUP,Equity,"4,000",KYG2R5391062,
1933.hk,01933,ONEFORCE HLDGS,Equity,"4,000",KYG675611035,
1935.hk,01935,JH EDUCATION,Equity,"2,000",KYG6578D1034,
1936.hk,01936,RITAMIX,Equity,"2,000",KYG7576R1020,
1937.hk,01937,JIACHEN HOLDING,Equity,"5,000",KYG7395L1041,
1938.hk,01938,CHU KONG PIPE,Equity,"1,000",KYG212331048,
1939.hk,01939,SHANGSHAN GOLD,Equity,"2,000",HK0000448487,
1940.hk,01940,CGII HLDGS,Equity,"2,000",KYG2122B1077,
1941.hk,01941,YE XING GROUP,Equity,"2,000",KYG9842B1014,
1942.hk,01942,MOG DIGITECH,Equity,"2,000",KYG6185A1040,
1943.hk,01943,KING'S STONE,Equity,"5,000",KYG8136F1090,
1945.hk,01945,ZERO2IPO,Equity,400,KYG9889D1016,
1947.hk,01947,MEIHAO GROUP,Equity,"5,000",KYG5966K1094,
1948.hk,01948,UJU HOLDING,Equity,"1,000",KYG9445Z1090,
1949.hk,01949,PLATT NERA,Equity,"2,000",KYG7S47A1005,
1950.hk,01950,DIWANG IND H,Equity,"4,000",KYG8587S1214,
1951.hk,01951,JXR,Equity,500,KYG5140J1013,
1952.hk,01952,EVEREST MED,Equity,500,KYG3224E1061,
1953.hk,01953,RIMBACO,Equity,"5,000",KYG7569L1041,
1955.hk,01955,JOHNSON HLDGS,Equity,"2,000",KYG4588A1022,
1957.hk,01957,MBV INTL,Equity,"2,500",KYG5954V1095,
1958.hk,01958,BAIC MOTOR,Equity,500,CNE100001TJ4,
1959.hk,01959,CENT UNIT HLDG,Equity,"2,000",KYG2066U1031,
1960.hk,01960,TBKS HLDGS,Equity,"5,000",KYG5823C1006,
1961.hk,01961,INFINITIES TECH,Equity,"2,000",KYG5140P1072,
1962.hk,01962,EVERGREEN PG,Equity,"2,000",KYG322541072,
1963.hk,01963,BCQ,Equity,500,CNE100001QN2,
1965.hk,01965,LANDSEA LIFE,Equity,"1,000",KYG5371B1086,
1966.hk,01966,CHINA SCE GROUP,Equity,"1,000",KYG211901064,
1967.hk,01967,CONFIDENCE IN,Equity,200,KYG2R80A1009,
1968.hk,01968,HINGTEX HLDGS,Equity,"4,000",KYG459081033,
1969.hk,01969,CHINA CHUNLAI,Equity,"1,000",KYG2121L1068,
1970.hk,01970,IMAX CHINA,Equity,100,KYG476341030,
1971.hk,01971,RSUN SER,Equity,"1,000",KYG7457E1052,
1972.hk,01972,SWIREPROPERTIES,Equity,200,HK0000063609,
1973.hk,01973,TIAN TU CAPITAL,Equity,400,CNE100005MW3,
1975.hk,01975,SUN HING PRINT,Equity,"4,000",KYG8587B1023,
1977.hk,01977,ANALOGUE HLDGS,Equity,"2,000",BMG0418N1083,
1978.hk,01978,LH GROUP,Equity,"2,000",KYG547241029,
1979.hk,01979,TEN PAO GROUP,Equity,"4,000",KYG876031090,
1980.hk,01980,TIANGE,Equity,"1,000",KYG887641085,
1981.hk,01981,CATHAY GP HLDGS,Equity,"1,000",            ,
1982.hk,01982,NAMESON HLDGS,Equity,"2,000",KYG6362E1017,
1983.hk,01983,LUZHOU BANK,Equity,"1,000",CNE100003FB6,
1985.hk,01985,MICROWARE,Equity,"2,000",KYG609061075,
1986.hk,01986,TSAKER NE,Equity,500,KYG910801045,
1987.hk,01987,BENG SOON MACH,Equity,"4,000",KYG0984U1067,
1988.hk,01988,MINSHENG BANK,Equity,500,CNE100000HF9,
1991.hk,01991,TA YANG GROUP,Equity,"10,000",KYG869171200,
1993.hk,01993,ASIARAY,Equity,500,KYG0623M1015,
1995.hk,01995,ES SERVICES,Equity,"2,000",KYG2139U1067,
1996.hk,01996,RSUN PPT,Equity,"1,000",KYG7459A1013,
1997.hk,01997,WHARF REIC,Equity,"1,000",KYG9593A1040,
1999.hk,01999,MAN WAH HLDGS,Equity,400,BMG5800U1071,
2000.hk,02000,SIM TECH,Equity,"2,000",BMG814741010,
2001.hk,02001,NEW HIGHER EDU,Equity,"1,000",KYG2163K1076,
2002.hk,02002,SUNSHINE PAPER,Equity,"2,000",KYG215A01058,
2003.hk,02003,VCREDIT,Equity,200,KYG940441077,
2005.hk,02005,SSY GROUP,Equity,"2,000",KYG8406X1034,
2007.hk,02007,COUNTRY GARDEN,Equity,"1,000",KYG245241032,
2008.hk,02008,PHOENIX TV,Equity,"1,000",KYG706261255,
2009.hk,02009,BBMG,Equity,"1,000",CNE100000F20,
2011.hk,02011,GILSTON GROUP,Equity,"2,000",KYG2R11R1079,
2012.hk,02012,SUNSHINE OIL,Equity,"1,000",CA8678423044,
2013.hk,02013,WEIMOB INC,Equity,"1,000",KYG9T20A1060,
2015.hk,02015,LI AUTO-W,Equity,100,KYG5479M1050,
2016.hk,02016,CZBANK,Equity,"1,000",CNE1000025S9,
2017.hk,02017,CHANHIGH,Equity,"2,000",KYG2121A1004,
2018.hk,02018,AAC TECH,Equity,500,KYG2953R1149,
2019.hk,02019,DEXIN CHINA,Equity,"1,000",KYG2751H1020,
2020.hk,02020,ANTA SPORTS,Equity,200,KYG040111059,82020
2022.hk,02022,DIGIT HOLLYWOOD,Equity,"4,000",KYG2871A1022,
2023.hk,02023,CHINA LUDAO,Equity,"4,000",KYG215821045,
2025.hk,02025,RUIFENG POWER,Equity,"2,000",KYG7714A1022,
2028.hk,02028,JOLIMARK,Equity,"2,000",KYG516941005,
2030.hk,02030,CABBEEN,Equity,"1,000",KYG3164W1087,
2031.hk,02031,AUSUPREME,Equity,"5,000",KYG066021091,
2033.hk,02033,TIME WATCH,Equity,"2,000",KYG8879M1050,
2038.hk,02038,FIH,Equity,"1,000",KYG3472Y1199,
2039.hk,02039,CIMC,Equity,100,CNE100001NN9,
2048.hk,02048,E-HOUSE ENT,Equity,300,KYG2955A1013,
2050.hk,02050,SANHUA,Equity,100,CNE100006Z79,
2051.hk,02051,VALA,Equity,"10,000",KYG341531096,
2057.hk,02057,ZTO EXPRESS-W,Equity,50,KYG9897K1058,
2060.hk,02060,PUJIANG INTL,Equity,"1,000",KYG7306U1022,
2066.hk,02066,SHENGJINGBANK,Equity,500,CNE100001TK2,
2068.hk,02068,CHALIECO,Equity,"1,000",CNE100001F78,
2076.hk,02076,BOSS ZHIPIN-W,Equity,100,KYG5224V1032,
2078.hk,02078,PANASIALUM,Equity,"1,000",KYG688451098,
2080.hk,02080,AUX INTL,Equity,"2,000",KYG2947D1060,
2086.hk,02086,LEADWAY TECH,Equity,"1,000",KYG4527E1089,
2088.hk,02088,XIWANG PROPERTY,Equity,"2,000",BMG9829U1062,
2096.hk,02096,SIMCERE PHARMA,Equity,"1,000",HK0000658531,
2097.hk,02097,MIXUE GROUP,Equity,100,CNE100006T36,
2098.hk,02098,ZALL SMARTCOM,Equity,"1,000",KYG9888C1125,
2099.hk,02099,CHINAGOLDINTL,Equity,100,CA16890P1036,
2100.hk,02100,BAIOO,Equity,"2,000",KYG070381051,
2101.hk,02101,FULU HOLDINGS,Equity,500,KYG3691U1040,
2102.hk,02102,TAK LEE MACH,Equity,"10,000",KYG866501011,
2105.hk,02105,LAEKNA-B,Equity,500,KYG5340S1093,
2107.hk,02107,FIRST SERVICE,Equity,"2,500",KYG3483A1004,
2108.hk,02108,K2 F&B,Equity,"4,000",KYG5225H1039,
2110.hk,02110,TIAN CHENG HLDG,Equity,"10,000",KYG9877W1116,
2111.hk,02111,BEST PACIFIC,Equity,"2,000",KYG106891008,
2112.hk,02112,GRACE LIFE-TECH,Equity,"2,000",KYG3164G1038,
2113.hk,02113,CENTURY GP INTL,Equity,"5,000",KYG2031R1020,
2116.hk,02116,JS INNOV,Equity,"2,000",KYG5140A1004,
2119.hk,02119,TSIT WING INTL,Equity,"2,000",BMG9113W1073,
2120.hk,02120,KN HOSPITAL,Equity,100,CNE100002383,
2121.hk,02121,AINNOVATION,Equity,100,CNE1000055Z1,
2122.hk,02122,KIDSLAND INTL,Equity,"2,000",KYG5259R1002,
2125.hk,02125,STRAWBEAR ENT,Equity,"1,000",KYG8533A1094,
2126.hk,02126,JW THERAP-B,Equity,500,KYG5210T1040,
2127.hk,02127,HUISEN SHARES,Equity,"2,000",KYG4645D1079,
2128.hk,02128,CHINA LESSO,Equity,"1,000",KYG2157Q1029,
2129.hk,02129,LEGION CONSO,Equity,"5,000",KYG5S52A1066,
2130.hk,02130,CN LOGISTICS,Equity,"1,000",KYG2353J1004,
2131.hk,02131,NETJOY,Equity,"1,000",KYG6429L1068,
2132.hk,02132,LANDRICH HLDG,Equity,"8,000",KYG5372A1094,
2135.hk,02135,RAILY AESMED,Equity,"10,000",KYG7356A1215,
2136.hk,02136,LIFESTYLE CHI,Equity,500,KYG548741050,
2137.hk,02137,BRII-B,Equity,500,KYG1645A1094,
2138.hk,02138,EC HEALTHCARE,Equity,"1,000",KYG3037S1021,
2139.hk,02139,BANK OF GANSU,Equity,"1,000",CNE100002RW9,
2142.hk,02142,HBM HOLDINGS-B,Equity,"1,000",KYG4403H1002,
2145.hk,02145,CHICMAX,Equity,100,CNE100005MX1,
2146.hk,02146,ROISERV,Equity,500,CNE1000049J8,
2147.hk,02147,ZHENGWEI GROUP,Equity,"4,000",KYG989MG1077,
2149.hk,02149,BATELAB,Equity,100,CNE100006B10,
2150.hk,02150,NAYUKI,Equity,500,KYG6432S1066,
2152.hk,02152,SUXIN SERVICES,Equity,500,CNE100005HN2,
2153.hk,02153,TAT HONG EQUIP,Equity,"2,000",KYG8683B1059,
2155.hk,02155,MORIMATSU INTL,Equity,"1,000",HK0000709128,
2156.hk,02156,C&D PROPERTY,Equity,"1,000",VGG3165E1079,
2157.hk,02157,LEPU BIO-B,Equity,"1,000",CNE100004SM4,
2158.hk,02158,YIDU TECH,Equity,100,KYG9845C1069,
2159.hk,02159,MEDIWELCOME,Equity,"8,000",KYG5960A1076,
2160.hk,02160,CARDIOFLOW-B,Equity,"1,000",KYG6082P1054,
2161.hk,02161,JBM HEALTHCARE,Equity,"2,000",KYG1090B1077,
2162.hk,02162,KEYMED BIO-B,Equity,500,KYG5252B1023,
2163.hk,02163,BROAD HOMES,Equity,300,CNE100003NK1,
2165.hk,02165,LING YUE SER GP,Equity,"1,000",KYG5500R1074,
2166.hk,02166,SMART-CORE,Equity,"2,000",KYG8211R1011,
2167.hk,02167,TI CLOUD,Equity,200,KYG8933A1058,
2168.hk,02168,KAISA PROSPER,Equity,250,KYG522441032,
2169.hk,02169,CANGGANGRAILWAY,Equity,"2,000",KYG1820D1189,
2170.hk,02170,BASECARE-B,Equity,500,CNE100004BC1,
2171.hk,02171,CARSGEN-B,Equity,500,KYG1996C1006,
2172.hk,02172,MICROPORT NEURO,Equity,"1,000",KYG6083E1098,
2175.hk,02175,CH GENERAL EDU,Equity,"1,000",KYG2124H1020,
2176.hk,02176,CCID CONSULTING,Equity,"10,000",CNE1000000Y0,
2177.hk,02177,UNQ HOLDINGS,Equity,200,KYG9412Z1081,
2178.hk,02178,PETRO-KING,Equity,"1,000",VGG7042T1049,
2179.hk,02179,RECBIO-B,Equity,500,CNE1000057K9,
2180.hk,02180,MANPOWER GRC,Equity,250,KYG5795B1068,
2181.hk,02181,MABPHARM-B,Equity,"2,000",KYG5780F1046,
2182.hk,02182,TIAN CHANG GP,Equity,"4,000",KYG887331034,
2185.hk,02185,BIOHEART-B,Equity,100,CNE100004JH3,
2186.hk,02186,LUYE PHARMA,Equity,500,BMG570071099,
2187.hk,02187,ZHIXIN GP HLDG,Equity,"2,000",KYG989A41070,
2188.hk,02188,TITANS ENERGY,Equity,"2,000",KYG2113Y1089,
2189.hk,02189,KATO (HK) HLDGS,Equity,"4,000",KYG5216P1063,
2190.hk,02190,ZYLOXTB,Equity,500,CNE100004JD2,
2192.hk,02192,MEDLIVE,Equity,500,KYG5961B1041,
2193.hk,02193,MAN KING HOLD,Equity,"4,000",KYG5860S1093,
2195.hk,02195,UNITY ENT,Equity,"5,000",KYG9460D1088,
2196.hk,02196,FOSUN PHARMA,Equity,500,CNE100001M79,
2197.hk,02197,CLOVER BIO-B,Equity,500,KYG2280A1076,
2198.hk,02198,CHINA SANJIANG,Equity,"1,000",KYG211861045,
2199.hk,02199,REGINA MIRACLE,Equity,"1,000",KYG748071019,
2202.hk,02202,CHINA VANKE,Equity,100,CNE100001SR9,
2203.hk,02203,BRAINHOLE TECH,Equity,"10,000",KYG1300A1058,
2205.hk,02205,KANGQIAO SER,Equity,"1,000",KYG5224S1003,
2208.hk,02208,GOLDWIND,Equity,200,CNE100000PP1,
2209.hk,02209,YESASIA HLDGS,Equity,"1,000",HK0000748381,
2210.hk,02210,BEIJING JIAYE,Equity,400,CNE100004SN2,
2211.hk,02211,UNI HEALTH,Equity,"5,000",KYG9302L1288,
2212.hk,02212,FB MINING,Equity,"10,000",KYG3700E1338,
2215.hk,02215,DEXIN SER GROUP,Equity,"1,000",KYG2823B1095,
2216.hk,02216,BRONCUS-B,Equity,500,KYG1609T1022,
2218.hk,02218,ANDRE JUICE,Equity,500,CNE1000005B7,
2219.hk,02219,CHAOJU EYE CARE,Equity,500,KYG2047K1094,
2221.hk,02221,NEW CONCEPTS,Equity,"4,000",KYG644671060,
2222.hk,02222,NVC INTL,Equity,"10,000",KYG6700A1186,
2223.hk,02223,CASABLANCA,Equity,"2,000",KYG192861063,
2225.hk,02225,JINHAI MED TECH,Equity,"5,000",KYG5140Y1162,
2226.hk,02226,HONWORLD GP,Equity,500,KYG4598A1004,
2227.hk,02227,SOLIS HOLDINGS,Equity,"4,000",KYG8274E1044,
2228.hk,02228,XTALPI,Equity,"1,000",KYG7S12M1051,
2230.hk,02230,MEDIALINK GROUP,Equity,"5,000",KYG5958A1013,
2231.hk,02231,JY GRANDMARK,Equity,"1,000",KYG831121051,
2232.hk,02232,CRYSTAL INTL,Equity,500,KYG2701R1011,
2233.hk,02233,WESTCHINACEMENT,Equity,"2,000",JE00B3MW7P88,
2235.hk,02235,MICROTECH MED-B,Equity,100,CNE100004QN6,
2236.hk,02236,WISON ENGRG,Equity,"1,000",KYG972301090,
2237.hk,02237,CHINA GRAPHITE,Equity,"10,000",KYG2123S1093,
2238.hk,02238,GAC GROUP,Equity,"2,000",CNE100000Q35,
2239.hk,02239,SMIT,Equity,"1,000",KYG824001054,
2245.hk,02245,LYGEND RESOURCE,Equity,200,CNE100005M34,
2246.hk,02246,GOGOX,Equity,"2,000",KYG9482E1180,
2250.hk,02250,B.DUCK SEMK,Equity,"1,000",KYG8021U1040,
2251.hk,02251,AIRDOC-B,Equity,100,CNE100004QQ9,
2252.hk,02252,MEDBOT-B,Equity,500,CNE100004QP1,
2255.hk,02255,HAICHANG HLDG,Equity,"1,000",KYG4231A1114,
2256.hk,02256,ABBISKO-B,Equity,"1,000",KYG0028A1085,
2257.hk,02257,SIRNAOMICS-B,Equity,50,KYG2050P1028,
2258.hk,02258,WATTS INT'L,Equity,"2,000",            ,
2260.hk,02260,VANOV HOLDINGS,Equity,"2,000",KYG9385Z1019,
2262.hk,02262,SLD GROUP,Equity,"3,000",KYG8492R1011,
2263.hk,02263,FU SHEK FIN,Equity,"10,000",KYG3709G1055,
2265.hk,02265,HC ENV TECH,Equity,"5,000",KYG4596V1068,
2266.hk,02266,LAI SI ENT,Equity,"2,000",KYG5352A1031,
2268.hk,02268,WUXI XDC,Equity,500,KYG9808A1058,
2269.hk,02269,WUXI BIO,Equity,500,KYG970081173,
2270.hk,02270,DESUN SERVICES,Equity,"2,000",KYG2743D1025,
2271.hk,02271,ZHONGAN SERVICE,Equity,"2,000",KYG989AC1091,
2273.hk,02273,GUSHENGTANG,Equity,100,KYG4212K1040,
2276.hk,02276,CONANT OPTICAL,Equity,100,CNE100004Z14,
2279.hk,02279,YONGHE MEDICAL,Equity,500,KYG5688E1008,
2280.hk,02280,HC GROUP,Equity,500,KYG4364T1013,
2281.hk,02281,XINGLU WATER,Equity,"1,000",CNE100002FH5,
2282.hk,02282,MGM CHINA,Equity,400,KYG607441022,
2283.hk,02283,TK GROUP HLDG,Equity,"2,000",KYG889391069,
2285.hk,02285,CHERVON,Equity,100,HK0000811882,
2286.hk,02286,CHEN XING,Equity,"1,000",KYG2087W1042,
2288.hk,02288,RYKADAN CAPITAL,Equity,"1,000",KYG7750P1046,
2289.hk,02289,CHARMACY PHAR,Equity,500,CNE1000023D6,
2291.hk,02291,SCIENTECH,Equity,"1,000",CNE1000057M5,
